"Story","Title","Result","Date","Stability","Duration (s)"
"Albun de fotos","get exitoso","SUCCESS","2021-10-23T11:03:16.354581-05:00[America/Bogota]","0.0","3.53"
"Albun de fotos","get de filtrado","SUCCESS","2021-10-23T11:03:19.897716-05:00[America/Bogota]","0.0","0.51"
